,trackId,preview_url,mood
0,0sStz9SBt5DOF7CynqUUwa,https://p.scdn.co/mp3-preview/d06a60b6870725b2b4e2dea5471c064c85d9637f?cid=9ba8560ce44540a8a907412d26cedc64,CALM
1,2CVoj73sTbBrfBoQTEk7yO,https://p.scdn.co/mp3-preview/048a9d4f36df65d746f9b4f9e628ee6987b2b5ab?cid=9ba8560ce44540a8a907412d26cedc64,CALM
2,0PWTD37PzDoCU9CunHUokE,https://p.scdn.co/mp3-preview/3a8894cf654c9e2b1ea55817f238fcc74b3558aa?cid=9ba8560ce44540a8a907412d26cedc64,CALM
3,1HZa1EjZeJDzQ7r6NwX6jW,https://p.scdn.co/mp3-preview/01227d6fbe7cb5135abc41f08bf535baf591e6c8?cid=9ba8560ce44540a8a907412d26cedc64,CALM
4,3OLr0gzUC0zLlWmpE6L0Ay,https://p.scdn.co/mp3-preview/d9e78cea02fc589f491c5a1d50b5c8bca7a071a3?cid=9ba8560ce44540a8a907412d26cedc64,CALM
5,6ugfn14Y2aS1loWCWh1APM,https://p.scdn.co/mp3-preview/f9751caa9bf2a39cde45c73659f226b9f2008619?cid=9ba8560ce44540a8a907412d26cedc64,CALM
6,5nkMUigFhTzLpvMkXI6kPk,https://p.scdn.co/mp3-preview/ded02e123f23509b342965a951958d60e7bd8623?cid=9ba8560ce44540a8a907412d26cedc64,CALM
7,2bzHADVvOnECWhqpLf5Rwi,https://p.scdn.co/mp3-preview/0b4ede5c6696be7ddc3e410ff2d806a073e226ce?cid=9ba8560ce44540a8a907412d26cedc64,CALM
8,56nl0PcICHCOoVazhLQEFb,https://p.scdn.co/mp3-preview/ca509be828a4b7fab9435db67448dd1d5a28f00a?cid=9ba8560ce44540a8a907412d26cedc64,CALM
9,0wXoceSodypn4BlHQRUYLA,https://p.scdn.co/mp3-preview/23048140e410eff49529851e14d704aedf7804c7?cid=9ba8560ce44540a8a907412d26cedc64,CALM
10,1XjmvMlHQeXqXqbIiphr7L,https://p.scdn.co/mp3-preview/58a80b7d5e0585055b7269ea49a78a8aae080d3a?cid=9ba8560ce44540a8a907412d26cedc64,CALM
11,3XUoK60Lyhtf9qyqJrppKq,https://p.scdn.co/mp3-preview/16b8f6910f88226e6f0cea6f6b448038bc4e6147?cid=9ba8560ce44540a8a907412d26cedc64,CALM
12,0YicEESY4K4uK5iXldrVN6,https://p.scdn.co/mp3-preview/0fd36745d9b4e62214f4f035dfca6704f6b61fb5?cid=9ba8560ce44540a8a907412d26cedc64,CALM
13,20MbEMn0Dj7ZZZtbPTRfxb,https://p.scdn.co/mp3-preview/afd73e3df9e76883a0e324519b5e4366b68f5922?cid=9ba8560ce44540a8a907412d26cedc64,CALM
14,7drTYp9dKioyAQYDTLtzbR,https://p.scdn.co/mp3-preview/56076fd1eb984430579be004145e0fb5704bbef5?cid=9ba8560ce44540a8a907412d26cedc64,CALM
15,0qQYLDf5A6ezcYaYYAnhDI,https://p.scdn.co/mp3-preview/28a29cd93a94920ae88ee44307c16505ea3c2e96?cid=9ba8560ce44540a8a907412d26cedc64,CALM
